1918	11	23	Lietuvos Respublikos vyriausybe paskelbė įsakymą dėl kariuomenės kūrimo	
1918	12	31	Lietuvos Respublikos vyriausybe persikelia į Kauną	
1918			Bresto taika (Rusija pasitraukė iš karo)	
1919			Versalio taika su Vokietija	
1920	5	15	Steigiamasis Seimas pradeda darbą Kauno muzikos teatro rūmuose	
1920	7	12	Sutartis su Rusija kuri pripažino Lietuvą	
1920			Lietuva prarado Vilniaus kraštą	
1921	9	22	Lietuva priimta į Tautų Sąjungą	
1922	8	1	Priimta Lietuvos konstitucija	
1922	8	16	Įvestas litas	
1922			Priimta pirmoji Lietuvos konstitucija	
1923	1	9	Klaipėdos sukilimas, dėl prijungimo prie Lietuvos	
1923	2	16	Antantė nutarė atiduoti Klaipėdą Lietuvai	
1923	3	15	Nustatytos siena tarp Lietuvos ir Lenkijos	
1924	5	8	Klaipėdos kraštas pripažintas Lietuvai	
1926	9	28	Pasirašyta nepuolimo sutartis su Sovietų Sąjunga	
1926	12	17	Perversmas Lietuvoje, autoritarizmo laikotarpio pradžia.	
1928			Sutartis su Vokietija dėl sienų	
1929			Didžiosios ekonominės krizės pradžia.	
1930			Kaune įkurtas Vytauto didžiojo universitetas	
1933	7	15	Skrydis per Atlantą( Stepas ir Girėnas)	
1939	3	1	Vokietija aneksavo Klaipėdos kraštą.	
1939	3	23	Hitleris apsilanko okupuotoje Klaipėdoje	
1939	8	23	Pasirašyta Vokietijos-SSRS nepuolimo sutartis	
1939	10	1	Lietuvos ir SSRS savitarpio pagalbos ir draugystės sutartis	
1940	6	15	SSRS okupuoją Lietuvą	
1940	7	21	Liaudies seimas paskelbė Lietuvos sovietų valdžią	
1940	8	3	Lietuva oficialia priimta į SSRS	
1940	8	25	Priimta stalininė konstitucija įteisinanti Lietuvos okupaciją	
1941	6	14	Pirmieji masiniai trėmimai iš Lietuvos	
1941			Vokietijos karo su SSRS pradžia	
1944	6	6	Antrojo fronto atidarymas.	
1945	2	1	Krymo konferencija.	
1945	5	8	Berlyno užėmimas. Vokietijos kapituliacija.	
1945	7	1	Postdamo konferencija.	
1949			Įkurtas NATO	
1956			Vengrijos sukilimas (Budapešto ruduo)	
1957			Romos sutartis. EEB įkūrimas.	
1961			Berlyno sienos pastatymas.	
1962			Karibų krizė.	
1968			Prahos pavasaris - anti sovietinis judėjimas Čekoslovakijoje	
1972	5	14	Kaune susidegina R. Kalanta	
1972	30	19	Pradėta leisti “Lietuvos katalikų bažnyčios kronika”	
1975			Įteigta Helsinkio grupė	
1988	6	3	Vilniuje įkurta Sąjūdžio iniciatyvinė grupė	
1988	8	17	Legalizuota trispalvė	
1988	8	23	Mitinge Vingio parke pasmerkta Lietuvos okupacija	
1988	11	18	Paskelbta lietuvių kalba valstybine, trispalvė vėliava, Kudirkos giesmę himnu.	
1989	7	23	Baltijos kelias	
1989			Berlyno sienos griūtis. Simbolinė Šaltojo karo pabaiga.	
1990	3	11	Lietuvos Nepriklausomybės Atkūrimo Akto paskelbimas.	
1990	4	17	Blokados pradžia	
1991	1	13	Sausio įvykiai Lietuvoje.	
1991	2	11	Islandija pripažįsta Lietuvą	
1991	9	17	Lietuva priimta į JTO	
1991			Lietuva tapo JTO nare.	
1992	10	25	Referendumu priimta Konstitucija	
1993	2	25	Brazauskas tapo prezidentu	
1993	6	25	Atkurtas litas	
1993	8	31	Paskutinis rusų kareivis paliko Lietuvos žemę	
1993			Įkurta Europos Sąjunga	
1998	1	4	Prezidentu išrinktas Valdas Adamkus	
2004			Lietuva tapo NATO, ES nare.	
